167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182
1975,ROYAL AIR FORCE,TRAYNOR D,GLAZEBROOK RW,MUNCASTER GM,COOK AJC,JONES DA,ADCOCK RD,HOGG J,GILES JC,1980,BOURNE AJ,STORAH NP,GRAHAM TR,1982,FOWLER MG
WETHERREL-PEPPER CD,O'DWYER JM,BANNON RJDWC,LUTTON G,FENTON AG,OWENS JP,HUNTER-JONES MF,STIRLING AJ,HUNTER JA,IRELAND CG,ROYAL NAVY,FOXALL GW ,THOMPSON GW,CUMMINGS MDJ,ROYAL NAVY,FLANAGAN E 
BRENNAN EM,SMITH GL,FERGUSON DR,KIDD WD,PINSENT FJ,HYLTON BM,MURRAY-JONES TN,HERRON T,McMULKIN PJ,JONES JA,HART GJ,HINES HM,WRAY M,CARSON PD,MARSH RJ,HALL IP
BROWNE GW,CROWTHER DH,PEARSON JH,HYAM JR,HARRISON RJ,TANDY TM P,NICOLE NC,LANGLEY A,DOAK TJ,JONES I,WALDRON T,FOXALL T ,FINCH GE,WALKER EG,COOPER JR ,HEATH RR
BINNS DJ,EVANS TP,McCUTCHEON WJ,DINNES JA,LARKIN MJ,TAYLER SM,PRATT DR,BURNEY J,MONALLY RJ,VAUGHAN-JONES RO,CRADDOCK RA,SHAND DJA,GLENCORSE S,McNEILL T,BUTCHERS PJ,KYU BEN KWO
McCALL G,PRICE JA,LENNOX RH,CROCKER A,NEWMAN R,MURPHY SP,MILES J,DUGGAN GR,JOEL PW,VANCE TR,LEWIS GJ,SLANE R,BELCHER SP,MARTIN MJ,HELSTRIP AJ,OZBIRN DJA
McCAUGHEY T,HAMPTON DL,CORBETT-REAKES GF,BIGGS DK,GIRVAN P,VANCE J,LIMBU D,JOHNSON KL,PURVES IA,ROGERS A ,MORRIS AJ,SYMINGTON CWR,BULLOCK DE GM,CROSS BR,MILLER G,PRYCE DI
STROUD CJ,SLATTER PJL ,LEGGETT GJB,SHINGLESTON H MM,PULFORD FJ,MAGEE SD,GERRARD AJD,LING GN,WOOLMORE PL,WOOD AG,HARRIS GA,ELLIOTT WG,1981,JACKSON WB,ALLEN SR,ROBINSON-MOLTKE GS
TAYLOR G,LEWIS TO,McCONNELL RW,DUNN W,THOMPSON CJA,McLAUGHLIN CG,HOULDSWORTH R,WEAVER PA,WILSON V,WOODS M,FARLEY PAT,BILLS PJ,ROYAL NAVY,ROWLEY I,CASEY KS,STILL BJ
TAMANG R,RICHARDS GE,MCCLOSKEY J,EDWARDS HB,PITCHER-WOOD PJ,THOMSON H,PUCKEY ME,ROYAL AIR FORCE,LOUDEN JC,MEADE BR,DUNN DC ,DAVIDSON DD,LITTLETON P,SYMONS L ,BALFOUR DI,SUNDERLAND AD
