183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205
1982,BULLERS BC,JONES CE,ADAM TM,BROWNLEE G,MILES AK,ARMY,SHANKAR T SHEARER D.,ROYAL KJ,RAMSAY MA,HILL RW,CRACKNELL EJW,HEWITT TW,ARMY,HUGHES LH,ROY CL,EVANS M,DUGGAN JP,McGUIRE B,CONSIGLIO RG MM,ROLLINS GW,FRENCH NHE,PEWTRESS JR
MURPHY WJA,BURKE A,SHAW A,BAGSHAW S,GIBBONS AT ,WILSON R ,ELLIOTT RG,SHANKAR T ,DACRE A ,HARRIS GM,BERTRAM MR,OWEN AB,McKELLAR K,ANTHONY NJ,BUCHAN AJ,SAVAGE JTP,THOMPSON TC,TAYLOR AWG,THAPA S,KINNEAR DB,HOPE G,SHARMAN MJ ,HAVERSON M 
JOHNSON P,CARLYLE JR,DENHOLM DJ,COLLINS CJ,HILLS G,KIRKPATRICK BHG,BELT JT,BAGWELL PJ,BROWN MA,CRIPPS S,WATSON P,1987,MEGRATH WR,ARMSTRONG TD,CHERRY W,SIMPSON CM,McKIMM R,ROBBJH,IRELAND MI,MEAD MJ,HEIGHTON MAP,O'SHEA DO,ROBERTS SMJ
Mc MAHON JG,CONNETT AM,FINDLAY GPM,DELANEY PJ,LLEWELLYN PD,STOCK AJ,JONES R,ATKINSON RJ ,CARSON TD ,REDWOOD IM,DAVIES CJ ,ROYAL NAVY,HOGAN GAP,STEWART WJR,COOMBER NR,STEVENSON PK,BAILEY IJ,ISLANIA M,BEACHAM SR,WRIGHT AJ,GOODMAN JW,BOXELL DE ,1993
WATERS Q,DALE IA,MALCOLMSON D,McDONOUGH P,SNELSON PF BEM,CAMPBELL TC,HOUSTON LC,YOUNG A,DILLON RS,YATES M,SMITH GD,CARTWRIGHT MD,JEDRUCH ERP,MANN M,DOWNS MG,WILLIAMS JP,CARR D,PARRY DJ,POLLOCK DM ,BROWN IC,GRAHAM R,REES MP,ROYAL NAVY
HANNA N,DUNPHY MJ,MITCHELL C,MURRAY D,DUNCAN G,BANKS EG,BROWN NF,SIMPSON MJ,OAKLEY JWK,STEELE W ,ANDERSON VJ,SHIPLEY DS,CLARKE PAC,CLARK ID,SANDIFORD G,HARTA,BENNETT P,1990,BURROWS S,KINGHAN JS,ROSS TJ,PATERSON JR,FORRET A
MCMASTER JM,EDWARDS P,PARR DA,SALTHOUSE DP,ARMY,WATERS SP,MCSHANE WJ,GALLAHER FW ,WEBB A,JAMES PG,GREEN CD,LORD SA,AICKEN TR,LAMB PJ,RUDDOCK-WEST WG,FONTAINE MJ,DRISCOLL SJ,ROYAL NAVY,SCOTT VJ,CROFTS SR,FLETCHER N,JOHNSON AR,REED WK
HOLLAND DR,ELLEY CN,PASHLEY JB,SMITH SG,MAKIN WT,COOPER R,RODGERS P,UTTERIDGE TP,GOSTLING PM,EDWARDS S,ROBERTS TJP,JOHNSTON MR,PEARCE C,CAIRNS SH,DOUGHERTY LA,GILBERT A,LAPPING CD,HOLMES SJ,SMITH CJ QGM,ROYLE RA ,DICKINSON I,LIMBU K,PIKE RA
MALAKOS NP,FARRELL IR,REYNOLDS JBC DCM,STITT DW,MAULE AD ,EVERITT DP ,SCOTT WJ,GALLIMORE PW ,HUNTER SA,WIGHT RN,OUSBY CA,Mac BEAN NC,MAHER AJ,CREE PF,S HAW DC,FERRANTE SM,LOWE PW,ARMY,WORRALL PD,ROBBINS R ,RING AT ,NEILL J,YATES PJ 
RAPLEY AM,GIBBY M,SIMEON JJ,WILLIAMS N,ANDREWS PE,PEARN PRG ,JOHNSTON R,FERNON D,MARJORAM CJ,STOVIN L ,BUTTERWORTH P,SMITH PR,BACK DJ,FLEMING PM,McKINNEY S,BALL MFP,CROFT JNP,KILPATRICK OF,SWEENEY DA ,,CROSS PA,NEWMAN M,WHEELER IJ
McKEOWN BJ,GRACE GC,SLOUGH FF,WILLIAMSON SA,LANHAM DM ,ORD G,CRADLE L,MCPHERSON GK,COLEWELL PP ,RIGBY DAA ,KNIGHT DJ,HILL P,MOORE G,WILLBY JJ,LAMBE TD,CLEATHEROE JA,MASON MA,PAOLO MT,KENDALL N,DENBURY DE MM QGM,PANTRY CJ,SLOAN HE ,NESLEN PJ
ROSE RD,GREEN P,STIRLING AG,WALTON ST,McCRORIE AG,WILKES SA,COX SA,CANT JM,PICKERING PG,BARNARD M,TAGGART DDM,O'DONNELL P,MOORE CE,CIRCUITT GKJ,REID DW,DAVIS TJE,HULL DM,THOMPSON PC,COOPER AD ,FOGERTY AJ,BOXALL M,SANDS LW,MARSDEN A
HARDING PC,GRIFFITHS GM,TANBINI R,SCHOFIELD JC,IRWIN ST,TAVERNER SW,ORAM PD MM,BUDGEN J ,SANDERSON D ,SHEEN J,BLACKBURN AJ ,LEIGHTON DH,WHITE RJ,JOHNSTON AT,MORRIS PS,FICE RG,PORTER SJ,KENT S,CORDNER B ,HILL TTW,SHERWOOD C,GRUNDY AJ ,WILLIAMSON KND
PENWILL DG,HUGHES DN,WIGHT D,SMITH A,McMULLAN R,ARMSTRONG FC,THEW JM,BEARD MAS,BLANKS KJ,1986,MAXWELL PRM ,ARMY,FINLAY WC,JACKSON BI,DOLAN SA,JONES RM,GUNNING JB,KIRBY G,WILLIAMSON DT,TAYLOR SP,SMITH DP,OLIVER D,HUNTER MA
BURBRIDGE MD,HUGHES G,CUMMINGS HA,ROYAL AIR FORCE,CREANEY S,REID RDJ,LARNER MW,SLATER AI MM,TURNBULL AD,ROYAL NAVY,ADLAM BW,WATSON CH,FERGUSON JW,CONNOR JA,FINLAY AM,McMILLAN D,CAWLEY MP,FARDOE RJ,GOING RH,ATKINSON PP,HARRIS WJ,SCANION SD,McKENNA M 
WARD M,JASPER B,STODDART BAV,CRAMPTON GP,SAVILLE NU ,BOARDMAN N,LOUGHLIN TA,Mc CALLION J ,CHAPMAN TP ,WILSON PH,ADAM J,JONES GJ,MEGRATH SW,CUMMINGS J,HALLETT DJ,PAVEY DP,CHRISTIE MH,HOLMES AL,GILMORE HB,COLE CP,WILLIAMS C,LOANE LRJ,WARE RF
GRAY JF,JONES MA,LIMBU B,ALLEN PIJ,ALLEN I,ROBERTS SJ,ALLAN M,BRADFORD SJ,COLEMAN DS ,STEVENS R,BIRDSALL GD,MORROW KR,HOGG D,STARRETT E,RIGG JM,PETCH MT,GHALE D,TURNER RD,BURCH AJ,DONALD NWD,WATSON TR,DEVANEY JB,SCOTT RJ
BEATTIE CJ,KEEBLE A,THORNTON SE,BEYER RCH,PALMER TGC QGM,McKEOWN BV,MONTGOMERY SD,BACKETT SW ,MILLER WMLP,COLLIER MJ ,CUNNINGHAM RA,SHAW G,PECK K,GREGG PA,FORSYTHE JW,REEVES TJ,FROGGETT KA,BELL M,UBHI LS,DOWLING MJ MM,MADDOCKS MC,BIDDULPH M,ARMY
MCKENNA B,KEOGHANE K,BLYTHE GM,CHAMBERS TEB,ARCHIBALD I,FORD PC,FARRY D,HORNSBY MA ,GREENHOW N,RITCHIE G,HARPUR S,FLEMING DJ,ASTBURY RP,HUNTER IL,SMITH G,SIMMONDS RL,JENNINGS JC,JAMISON TA,FOX JD,EVANS FC,MULLAN FN,EDMONDS JIT,EDWARDS WJ
HAMILTON JL,MARKS MJ,SELERIDGE MR,VERDIN HWP,MARRISON E ,FORDE RW ,FUNSTON RA,ROYAL AIR FORCE,WILLIS AR,CRABTREE DK,HUMPHREYS S,OLDHAM AW,PRICE TJ,STEWART AS,RICHFORD JM,NOLAN CR,McGRORY NI,BATES SO,BOLAM CAE,GILLESPIE RA,NEWELL KA,OLDFIELD DC ,ROGERS AJ
LIMBUR,MeILVENNY AG,BENNETT JD,BOOTHROYD CS,CATHERWOOD TG,IRWIN RJ ,LIMBUS,GOURLAY DM,ARMSTRONG BT,GUNSTONE JR ,MOORE J.,MAYOR SBR ,BOWEN MJ,CASSIDY PJ,RISBOROUGH RG,ENGLAND RE,SUTTON AC,McCHESNEY SJ,ROYAL AIR FORCE,FERGUSON M ,EASDOWN KJ,STEAD AJ,BESWICK MJ
CLIFFORD CP,MIDDLEWICK RW,BARKER G,ROGERS RA,TIDMARSH S,,McAFEE A,JACKSON JL,PATTEN MR,NIXON PR,LEPINE KR ,GREATOREX PA,MONTGOMERY TF,TOUGH RL,HODGSON RT,ARMY,SHIELDS RM,WALLACE R,MENMUIR PDH,LANG JW,BOOTE SJ,BALLARD DG,JOHNSON M
WAIMSLEY B,MORDECAI C,FISHER DE ,RUTTER BL,McNEILL CW ,ROYAL AIR FORCE,CHAPMAN G,GRAHAM WR,CASTLETON NF,TRACEY C ,HANRAHAN MJ,BYRNE J,GATES VT,HOWES DR,MORELAND WJ,COCHRANE D,GIBSON TW,PHOENIX AJ,TRAVIS HR,MCFADDEN JP,MILLAR AT,RICHARDS MDR,BROWN NP
POTTER J,NEWBURY SJ,DALY DRA,HAWKINS GW,TRUSSLER AW,THOMAS RD,HAMİLTON G ,THEOBALD L ,BIELA MR,MCKEOWN KT,PEDEN J,JACKSON I,ORANGET,WOOD DT,ROYAL AIR FORCE,BAILIE TN,LONGSTAFF G,WINSTANLEY K,BOULTON SJ,MOULT C,DOWNIE JRA,SULLIVAN PH,FENLEY DT 
