Filename,DecimalLat,DecimalLng
Aguila Memorial.JPEG,52.72978333,-1.72702778
"Cardiac Risk in the Young, Dawn, Dusk.JPEG",52.72998333,-1.72543333
DONOR FAMILY NETWORK.JPEG,52.72969167,-1.72618889
EVACUEES (EVERY WHICH WAY).JPEG,52.72985833,-1.72611667
HOME FRONT MEMORIAL.JPEG,52.72964444,-1.72658056
IMG_5468.JPEG,52.72995,-1.72705278
MILITARY MEDALLISTS’ MEMORIAL.JPEG,52.72924167,-1.72679167
NATIONAL EX-PRISONER OF WAR ASSOCIATION.JPEG,52.72966111,-1.72674167
Northern Ireland Prison Service Memorial.JPEG,52.72995833,-1.72708056
Police Service of Northern Ireland PSNI.JPEG,52.72958889,-1.72640278
Poppy Memorial; ‘RBL Never Forget Tribute Garden.JPEG,52.72938889,-1.72729167
Posted - Service Children’s Education Memorial.JPEG,52.73004167,-1.72540556
RAF Benevolent Fund.JPEG,52.72928889,-1.7271
Royal National Lifeboat Institution (RNLI).JPEG,52.72906111,-1.72639722
Royal Naval Patrol Service (RNPS) – HMS Europa.JPEG,52.72951389,-1.72728889
ULSTER SPECIAL CONSTABULARY.JPEG,52.72961389,-1.72710556
Unknown (2).JPEG,52.72969167,-1.72548333
Unknown (3).JPEG,52.72993333,-1.726925
Unknown (4).JPEG,52.73013056,-1.72640556
Unknown.JPEG,52.72935,-1.7266
WOMEN'S ROYAL NAVAL SERVTCE (WRNS).JPEG,52.72978333,-1.72702222
"Women’s Section Memorial, The Royal British Legion.JPEG",52.72912222,-1.72677222
