Memorial,Zone,Text
10th Royal Hussars Memorial,,
11th (Prince Albert's Own) Hussars (The Cherry Pickers) Memorial,,
14th/20th Kings Hussars,,
17th Dogra Regiment Memorial,,
1940 Dunkirk Veterans' Association Memorial,,
1st Airborne Reconnaissance Squadron Memorial ; Freddie Gough Squadron,7,"1st Airborne Reconnaissance Squadron - The Freddie Gough Squadron. 
This black Scottish granite memorial is dedicated to the men of the 1st Airborne Reconnaissance Squadron, known as the Freddie Gough Squadron. The 1st Airborne Reconnaissance Squadron was a Reconnaissance Corps unit which formed part of the 1st Airborne Division and was sent to North Africa, seeing service in Italy, Arnhem and finally in Norway. It had various names before the authorities settled on the name by which it was finally known.  The first commanding officer was Major Freddie Gough and it quickly became known as the Freddie Gough Squadron. It should be noted that Major Gough came from a distinguished military family (see below). Charles Frederick Howard “Freddie” Gough was born in India in September 1901. He was awarded the MC for his actions with the Squadron during the Italian Campaign. The Squadron took part in the Battle of Arnhem; hence the location of this memorial. Freddie Gough was taken prisoner at the Bridge at Arnhem and remained a POW until he escaped in April 1945. 75 men from the Squadron escaped from the Arnhem Battle and at the end of the war were sent to Norway to help disarm the German occupying forces. During the autumn of 1945 the Squadron was demobilised. After the war Freddie Gough was Member of Parliament for Horsham and died at the age of 76 while on holiday on Italy in 1977. 
The Gough VCs 
Three members of the Gough family were awarded the Victoria Cross. 
General Charles John Stanley Gough VC, GCB 
General Hugh Henry Stanley Gough VC, GCB (brother of Charles & grandfather of Freddie) 
Brigadier General John Edmund Gough VC, KCB, CMG (son of Charles) "
1st Army Memorial,,
1st Queens Dragoon Guards Memorial,,
216 Squadron RAF,13,"216 SQUADRON ROYAL AIR FORCE
In 1918 ‘A’ Squadron, Royal Naval Air Service was renumbered as No 216 (two-sixteen) Squadron Royal Air Force. It was designated a bomber-transport squadron for strategic bombing during the latter stages of WW1 and during the inter war years in the Middle East. On the outbreak of war with Italy in June 1940 the units’ aircraft undertook bombing sorties, then concentrated on transport flying, moving squadrons around the Middle East and Greece and keeping open the supply and reinforcement routes. In 1941 the Squadron agreed to provide a Bristol Bombay aircraft for the newly formed SAS for its first real parachute jump into the North African Desert. . 1955, the Squadron returned to the United Kingdom and received the Comet 2 aircraft and continued to operate these aircraft in the transport role, particularly for Royal and VIP flights. During the Falklands War the Squadron assumed the task off a refuelling Unit including the twice weekly schedule to the Falklands Islands At the end of July 1990, Iraq invaded Kuwait. No 216 Squadron with eight Tri star aircraft made a significant contribution including air-to-air refuelling and troop-carrying in support of both the RAF and US Navy, as it did later in Iraq and Afghanistan In 2020 No. 216 Squadron reformed to become an experimental unit that will test future drone swarm technology. Based at RAF Waddington. The memorial was dedicated in April 2022."
3 (F) Squadron Association,13,"3 (Fighter) Squadron RAF; 3 Squadron RAF 
The No. 3 Fighter Squadron Memorial honours the courage and sacrifice of those who have given their lives to the defence of the UK through two World Wars, subsequent world conflicts, the ‘Cold War’ and general air operations. 
Squadron History 
In the Beginning 
Following the issue of a Special Army Order, dated 28th February 1911, the Air Battalion of the Royal Engineers was formed on 1st April 1911, comprising No.1 (Airship) Company and No.2 (Aeroplane) Company. The creation of No.2 Company, stationed at Larkhill, marked the first formation of a British military unit composed of heavier-than-air flying machines. No.2 Company continued flying training including participation in the Army’s Autumn (1911) manoeuvres. 
The Royal Flying Corps The Royal Flying Corps (RFC) was formed on 13 May 1912 by absorbing the Air Battalion’s No.1 and No.2 Companies, with No.2 Company being renamed No.3 Squadron (Military Wing) RFC. On the outbreak of World War 1 the Squadron deployed to France as part of the British Expeditionary Force (BEF) in August 1914 on reconnaissance, photography and artillery spotting duties. In October 1917 Sopwith Camels were received, and the Squadron became a fighter / scout unit. After the Armistice, the Squadron was reduced to cadre strength until re-established at Ambala (India) from January 1920 to September 1921. 
The Biplane Era 
After returning to UK the Squadron spent the 1920s on many short periods at various locations before arriving at Upavon in 1924 with Sopwith Snipes. During their ten-year stay, the Squadron flew Woodcocks, Gamecocks and Bulldogs. The Bulldog was deployed to Sudan during the Abyssinian crisis in 1935. Upon its return from Sudan, No. 3 Squadron introduced the Gladiator into the RAF which became the last biplane operated by the Squadron and as the Second World War started converted to the Hurricane at Biggin Hill. 
World War 2 
A brief period with the BEF in France was followed by relocation to Scotland on night-patrol duties. During 1943, the Squadron replaced the Hurricanes with Typhoons and switched to the anti-shipping and intruder roles. After re-equipping with Tempests in 1944, the Squadron destroyed 288 V1 flying bombs, and following D-Day in 1944 moved on to the Continent as part of the advance towards Germany. 
The Jet Era 
The Squadron remained in Germany, converting successively to the Vampire in 1948, the Sabre in 1953 and the Hunter in 1956. After disbanding (1957 –1959) a brief time with Javelin fighters was followed by an extended period of Canberra B(I)8 operations, before the Squadron converted to the Harrier early in 1972 at Wildenrath. In 1977 the unit moved to Gutersloh near the old East German border, before relocating to Laarbruch with the Harrier GR7. 
Following the closure of RAF Laarbruch, the Squadron returned to the UK in 1999, to RAF Cottesmore. Subsequently, No. 3 Squadron, along with its sister RAF Harrier and Royal Navy Sea Harrier units, combined to form Joint Force Harrier and undertook several deployments including on-board HMS Illustrious during operations in Sierra Leone. The Harrier aircraft of No 3 Squadron also saw action in Kosovo, Bosnia-Herzegovina and both of the Iraq conflicts. 
Farewell to the Harrier 
On the 31 March 2006, the Squadron relinquished its Harrier role and moved to RAF Coningsby becoming the third RAF, and first front-line Squadron to be equipped with the Eurofighter Typhoon. The Squadron’s Typhoons continue to contribute to the RAF’s on-going commitments in Iraq & Syria plus participating in the Falkland Islands detachments and QRA (Quick Reaction Alert) to the present day. 
The date of dedication is May 12th 2023, a date which closely commemorates the 111th Anniversary of the Squadron’s inclusion in the Royal Flying Corps in 1912. 
Symbolism 
There are two faces to the memorial, the aspect facing the Armed Forces Memorial carries the Squadron’s battle honours, while the other side records the time line of its origin in 1911 and its status as recorded in official Air Ministry records. Both aspects carry the Squadron badge with the inscription ‘Tertius Primus Erit’ – The Third Will Be First. The central image is of a cockatrice mounted on a monolith, said to represent a fallen stone from Stonehenge. A cockatrice is a mythical beast that is hatched by a serpent from an egg laid by a rooster, and reputedly able to kill at a glance. The frontal aspect carries two smaller badges, one representing the first location of Larkhill on Salisbury Palin in 1912. Again, the stones symbolise the Squadron’s location of nearby Stonehenge. The second badge is carried on the Typhoon FGR4, which commenced operations in 2006."
